con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL
102_s.con.res.82,S.Con.Res.,102,A concurrent resolution urging greater progress toward democratization in Hong Kong.,3,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-concurrent-resolution/82?s=10&r=62
102_s.con.res.91,S.Con.Res.,102,"A concurrent resolution expressing the Sense of Congress that the Commission on Broadcasting to the People s Republic of China should be appointed expeditiously, and make its recommendations and propose a plan to the Administration",4,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-concurrent-resolution/91?s=10&r=53
102_s.j.res.153,S.J.Res 153,102, A joint resolution disapproving the recommendation of the President to extend nondiscriminatory treatment (most-favored-nation treatment) to the products of the People's Republic of China.,0,0,0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-joint-resolution/153?s=6&r=194
102_s.res.107,S.Res. 107,102,A resolution expressing the sense of the Senate concerning freedom and human rights for Tibet.,0,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-resolution/107?s=3&r=260
102_s.res.178,S.Res,102,A resolution expressing the sense of the Senate on Chinese political prisoners and Chinese prisons.,31,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-resolution/178?s=3&r=189
102_s.res.211,S.Res,102,A resolution expressing the sense of the Senate regarding human rights abuses in China against writers and journalists.,7,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-resolution/211?s=3&r=156
102_s.res.234,S.Res 234,102,A resolution expressing the sense of the Senate on the sale of 40 percent of McDonnell Douglas' commercial aircraft division to the Taiwan Aerospace Corporation.,16,0,0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-resolution/234?s=6&r=133
102_s.res.271,S.Res. 271,102,A resolution relative to human rights in Tibet.,11,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-resolution/271?s=3&r=96
103_s.1034,S. 1034,103,"A bill to provide that the President may not extend to the People s Republic of China renewal of nondiscriminatory (most-favored-nation) treatment beginning July 3, 1994, unless the President determines that the People s Republic of Chin",0,1,1,,Unavailable,1,https://www.congress.gov/bill/103rd-congress/senate-bill/1034?q=%7B%22search%22%3A%22China%22%7D&s=5&r=1
103_s.1065,S. 1065,103,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0,1,1,,Unavailable,1,https://www.congress.gov/bill/103rd-congress/senate-bill/1065?q=%7B%22search%22%3A%22A+bill+to+deny+the+People%E2%80%99s+People%27s+People+People%E2%80%98s+Republic+of+China+most-favored-nation+trade+treatment.%22%7D&r=1&s=8
