con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL,canonical_id,in_filter,legislation_id,matched_keywords
102_s.1020,s.1020,102,A bill to make available nondiscriminatory (most-favored-nation) trade treatment to the People s Republic of China only if certain conditions are met.,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1020?q=%7B%22search%22%3A%22A+bill+to+make+available+nondiscriminatory+%28most-favored-nation%29+trade+treatment+to+the+People%E2%80%99s+Republic+of+China+only+if+certain+conditions+are+met.%22%7D&r=1&s=4,102_s.1020,True,102_s.1020,china|people's republic of china
102_s.1028,s.1028,102,International Voluntary Family Planning Assistance Act of 1991,16.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1028?q=%7B%22search%22%3A%22International+Voluntary+Family+Planning+Assistance+Act+of+1991%22%7D&s=3&r=1,102_s.1028,True,102_s.1028,china
102_s.1084,s.1084,102,"Support for Democracy, Human Rights, and Fair Trade in China Act of 1991",29.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1084?q=%7B%22search%22%3A%22Support+for+Democracy%2C+Human+Rights%2C+and+Fair+Trade+in+China+Act+of+1991%22%7D&s=5&r=1,102_s.1084,True,102_s.1084,china|chinese|people's republic of china
102_s.1093,s.1093,102,Broadcasting to China Act,10.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1093?q=%7B%22search%22%3A%22Broadcasting+to+China+Act%22%7D&s=9&r=1,102_s.1093,True,102_s.1093,china|people's republic of china
102_s.1167,s.1167,102,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1167?q=%7B%22search%22%3A%22A+bill+to+deny+the+People%E2%80%99s+Republic+of+China+most-favored-nation+trade+treatment.%22%7D&r=4&s=10,102_s.1167,True,102_s.1167,china|chinese|people's republic of china
102_s.1216,s.1216,102,Chinese Student Protection Act of 1992,9.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1216?q=%7B%22search%22%3A%22Chinese+Student+Protection+Act+of+1992%22%7D&s=1&r=1,102_s.1216,True,102_s.1216,china|chinese|prc|people's republic of china
102_s.1366,s.1366,102,"A bill to prohibit the entry into the United States of items produced, grown, or manufactured in the People s Republic of China with the use of forced labor.",8.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1366?q=%7B%22search%22%3A%22A+bill+to+prohibit+the+entry+into+United+States+State+of+items+item+produced%2C+grown%2C+or+manufactured+in+People%E2%80%99s+People%27s+People+People%E2%80%98s+Republic+China+with+use+forced+labor.%22%7D&r=2&s=6,102_s.1366,True,102_s.1366,china|chinese|people's republic of china
102_s.1367,s.1367,102,United States-China Act of 1991,27.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1367?q=%7B%22search%22%3A%22United+States-China+Act+of+1991%22%7D&s=7&r=34,102_s.1367,True,102_s.1367,china|chinese|people's republic of china
102_s.1413,s.1413,102,A bill to encourage the termination of human rights abuses inside the People s Republic of China and Tibet.,6.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1413?q=%7B%22search%22%3A%22A+bill+to+encourage+the+termination+of+human+rights+right+abuses+abuse+inside+People%E2%80%99s+People%27s+People+People%E2%80%98s+Republic+China+and+Tibet.%22%7D&r=3&s=8,102_s.1413,True,102_s.1413,china|people's republic of china
102_s.1433,s.1433,102,"Foreign Relations Authorization Act, Fiscal Years 1992 and 1993",0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/1433?q=%7B%22search%22%3A%22Foreign+Relations+Relation+Authorization+Act%2C+Fiscal+Years+Year+1992+and+1993%22%7D&s=5&r=39,102_s.1433,True,102_s.1433,china|chinese|people's republic of china
